EACODE;source;value
10302002;DoIWD;12
10302003;DoIWD;11
10302004;DoIWD;7
10302005;DoIWD;9
10302006;DoIWD;11
10302007;DoIWD;14
10302008;DoIWD;11
10302009;DoIWD;7
10302901;DoIWD;1
10302902;DoIWD;2
10302903;DoIWD;2
10303001;DoIWD;5
10303002;DoIWD;12
10303003;DoIWD;12
10303004;DoIWD;22
10303005;DoIWD;9
10303006;DoIWD;8
10304001;DoIWD;9
10304002;DoIWD;7
10304003;DoIWD;9
10304004;DoIWD;6
10304005;DoIWD;6
10304006;DoIWD;3
10304007;DoIWD;13
10304008;DoIWD;5
10304009;DoIWD;3
10304801;DoIWD;7
10304802;DoIWD;17
10304803;DoIWD;14
10305001;DoIWD;6
10305002;DoIWD;19
10305003;DoIWD;5
10305004;DoIWD;34
10305005;DoIWD;8
10305006;DoIWD;12
10305902;DoIWD;1
10306001;DoIWD;14
10306002;DoIWD;10
10306003;DoIWD;5
10306004;DoIWD;20
10306005;DoIWD;21
10306006;DoIWD;14
10306007;DoIWD;9
10306008;DoIWD;4
10306009;DoIWD;15
10306011;DoIWD;8
10306011;Madzi Alipo;1
10306011;WPDx;1
10307001;DoIWD;10
10307002;DoIWD;9
10307003;DoIWD;24
10307004;DoIWD;18
10307005;DoIWD;4
10307006;DoIWD;9
10308001;DoIWD;10
10308002;DoIWD;8
10308003;DoIWD;11
10308004;DoIWD;6
10308005;DoIWD;20
10308005;Madzi Alipo;1
10308005;WPDx;1
10308006;DoIWD;8
10309003;DoIWD;16
10309004;DoIWD;1
10309005;DoIWD;32
10309801;DoIWD;31
10309802;DoIWD;2
10309803;DoIWD;16
10310001;DoIWD;20
10310002;DoIWD;7
10310003;DoIWD;10
10310801;DoIWD;11
10310902;DoIWD;18
10311001;DoIWD;8
10312001;DoIWD;16
10312004;DoIWD;16
10312005;DoIWD;24
10312006;DoIWD;16
10312006;Madzi Alipo;2
10312006;WPDx;2
10312007;DoIWD;9
10312008;DoIWD;21
10312008;Madzi Alipo;2
10312008;WPDx;2
10312009;DoIWD;26
10312009;Madzi Alipo;1
10312009;WPDx;1
10312010;DoIWD;12
10312010;Madzi Alipo;2
