EACODE;source;value
20613007;DoIWD;12
20613008;DoIWD;7
20613009;DoIWD;9
20613010;DoIWD;7
20613011;DoIWD;10
20613012;DoIWD;9
20613013;DoIWD;9
20613014;DoIWD;3
20613015;DoIWD;7
20613015;Madzi Alipo;3
20613015;WPDx;3
20613016;DoIWD;3
20613017;DoIWD;8
20613018;DoIWD;2
20613019;DoIWD;1
20613020;DoIWD;3
20613021;CJF;3
20613022;DoIWD;7
20613023;DoIWD;1
20614001;CJF;1
20614001;DoIWD;4
20614002;DoIWD;1
20614003;DoIWD;3
20614004;DoIWD;8
20614004;Madzi Alipo;2
20614006;DoIWD;3
20614007;DoIWD;6
20614008;DoIWD;7
20614009;DoIWD;7
20614010;DoIWD;6
20614011;DoIWD;8
20614011;Madzi Alipo;2
20614011;WPDx;2
20614012;DoIWD;2
20614013;DoIWD;9
20614014;DoIWD;6
20614015;DoIWD;3
20614016;DoIWD;2
20614017;DoIWD;6
20614017;Madzi Alipo;4
20614017;WPDx;4
20614018;DoIWD;6
20614019;DoIWD;6
20614020;DoIWD;1
20614021;DoIWD;1
20614021;Madzi Alipo;2
20614023;DoIWD;5
20614024;DoIWD;1
20614026;DoIWD;1
20614027;DoIWD;1
20614028;DoIWD;3
20614029;DoIWD;4
20614030;DoIWD;3
20614030;Madzi Alipo;1
20614030;WPDx;1
20614031;DoIWD;4
20614032;DoIWD;4
20614033;DoIWD;2
20614035;DoIWD;13
20614036;DoIWD;8
20614037;DoIWD;1
20614038;DoIWD;6
20614039;DoIWD;5
20614040;CJF;2
20614040;DoIWD;7
20614041;CJF;1
20614041;DoIWD;3
20614042;DoIWD;6
20614043;DoIWD;4
20614044;CJF;1
20614044;DoIWD;2
20614045;DoIWD;1
20614046;DoIWD;3
20614047;DoIWD;4
20614047;Madzi Alipo;1
20614047;WPDx;1
20614048;DoIWD;4
20614048;Madzi Alipo;2
20614048;WPDx;2
20614049;DoIWD;2
20614050;DoIWD;2
20614051;DoIWD;3
20614052;DoIWD;4
20614053;DoIWD;1
20614053;Madzi Alipo;3
20614053;WPDx;3
20614054;DoIWD;1
20614055;DoIWD;2
20614056;DoIWD;3
20614056;Madzi Alipo;2
20614057;DoIWD;2
20614057;Madzi Alipo;1
20614058;DoIWD;3
20614059;DoIWD;2
20614060;DoIWD;2
20614060;Madzi Alipo;1
20615001;CJF;1
20615001;Madzi Alipo;1
20615002;DoIWD;2
20615003;CJF;1
20615003;DoIWD;6
20615003;Madzi Alipo;1
20615004;DoIWD;3
20615005;Madzi Alipo;2
20615006;CJF;5
20615006;DoIWD;5
20615006;Madzi Alipo;3
20615009;DoIWD;2
20615010;DoIWD;2
20615012;DoIWD;5
20615013;DoIWD;5
20615014;DoIWD;3
20615015;CJF;1
20615015;DoIWD;3
20615016;CJF;3
20615016;DoIWD;4
20615017;CJF;7
20615017;DoIWD;2
20615018;CJF;3
20615019;DoIWD;4
20615020;CJF;3
20615020;DoIWD;4
20615021;CJF;6
20615021;DoIWD;3
20615022;CJF;2
20615023;CJF;13
20615024;CJF;11
20615024;DoIWD;7
20615025;CJF;2
20615025;DoIWD;1
20615026;CJF;27
20615026;DoIWD;14
20615026;WPDx;2
20615028;CJF;9
20615030;DoIWD;1
20615031;DoIWD;2
20615033;CJF;1
20615033;DoIWD;1
20615034;DoIWD;7
20615035;CJF;2
20615035;DoIWD;2
20615035;Madzi Alipo;1
20615036;DoIWD;2
20615037;CJF;3
20615037;DoIWD;4
20615038;CJF;9
20615038;DoIWD;3
20615039;DoIWD;5
20615040;DoIWD;1
20615041;DoIWD;1
20615043;WPDx;2
20615044;CJF;5
20615044;DoIWD;1
20615045;DoIWD;2
20615046;CJF;10
20615046;DoIWD;5
20615048;CJF;14
20615048;DoIWD;3
20615049;CJF;17
20615049;DoIWD;5
20615050;CJF;6
20615051;CJF;10
20615051;DoIWD;10
20615052;CJF;9
20615052;DoIWD;3
20615055;DoIWD;2
20615057;CJF;2
20615058;CJF;6
20615058;DoIWD;3
20615059;CJF;2
20615059;DoIWD;1
20615060;DoIWD;1
20615061;DoIWD;2
20615062;DoIWD;1
20615063;DoIWD;1
20615064;DoIWD;1
20615065;DoIWD;4
20615066;DoIWD;6
20615068;DoIWD;5
20615069;DoIWD;2
20615070;DoIWD;1
20615071;CJF;3
20615071;DoIWD;4
20615073;DoIWD;4
20615801;CJF;20
20615801;DoIWD;6
20615802;DoIWD;6
20631001;CJF;1
20632002;CJF;1
20633003;OSM;1
20635001;Madzi Alipo;1
20636001;Madzi Alipo;1
20637017;CJF;1
20637018;CJF;1
20637024;CJF;1
20638007;CJF;1
20638009;CJF;1
20638010;CJF;2
20638014;CJF;2
20651001;CJF;2
20651002;DoIWD;2
20651003;CJF;2
20651004;CJF;2
20651006;DoIWD;1
20651007;CJF;1
20651007;DoIWD;1
20651008;CJF;2
20651008;DoIWD;1
20651009;DoIWD;3
20651012;DoIWD;1
20651013;DoIWD;1
20651014;DoIWD;1
20651015;DoIWD;1
20651016;DoIWD;1
20651017;DoIWD;1
20651018;DoIWD;1
20651022;CJF;1
20651027;CJF;1
20652001;CJF;1
20652001;DoIWD;3
20652002;DoIWD;1
20652003;CJF;4
20652003;DoIWD;1
20652004;CJF;1
20652004;DoIWD;1
20652005;CJF;1
20652005;DoIWD;2
20652006;DoIWD;4
20652007;CJF;4
20652007;DoIWD;4
20652008;CJF;3
20653002;CJF;1
20653004;DoIWD;1
20653005;DoIWD;2
20653007;DoIWD;1
20653008;CJF;2
20653008;DoIWD;1
20653010;CJF;1
20653011;CJF;1
20653011;DoIWD;1
20653012;CJF;3
20653012;DoIWD;1
20653013;CJF;1
20653013;DoIWD;2
20653014;DoIWD;2
20653015;DoIWD;1
20653016;CJF;1
20653016;DoIWD;2
20653018;CJF;2
20653018;DoIWD;3
20653018;OSM;1
20653019;DoIWD;10
20653020;CJF;10
20653020;DoIWD;8
20653021;CJF;2
20653022;CJF;4
20653023;CJF;6
20653023;DoIWD;2
20654007;DoIWD;3
20654008;DoIWD;1
20654009;CJF;1
20654009;DoIWD;2
20655001;DoIWD;1
20655009;CJF;1
20655028;CJF;1
20655029;CJF;1
20655029;WPDx;2
20657001;CJF;10
20657001;OSM;1
20666005;OSM;1
20666009;DoIWD;2
20666010;DoIWD;1
20666010;WPDx;2
20668001;DoIWD;5
20668002;DoIWD;1
20668003;CJF;1
20668003;DoIWD;4
20669001;CJF;6
20669002;CJF;13
20669002;DoIWD;1
20673001;CJF;1
20674001;CJF;1
20674001;DoIWD;11
20674002;CJF;2
20674009;DoIWD;6
20674010;CJF;13
20674010;DoIWD;6
20675001;CJF;2
20675001;Madzi Alipo;4
20675001;WPDx;4
20676001;CJF;58
20676001;DoIWD;10
20676001;Madzi Alipo;1
20676001;WPDx;1
20677001;CJF;9
20679005;CJF;1
20679008;CJF;6
20680007;CJF;2
20682001;CJF;5
20682001;DoIWD;1
20682001;Madzi Alipo;1
20682001;WPDx;1
20682002;CJF;8
20682002;DoIWD;1
20682002;Madzi Alipo;8
20682002;WPDx;7
20683001;Madzi Alipo;1
20683002;Madzi Alipo;1
20683004;Madzi Alipo;1
20683005;DoIWD;1
20683005;Madzi Alipo;2
20683005;WPDx;2
20683009;CJF;3
20683010;CJF;11
20683010;DoIWD;2
20683010;Madzi Alipo;1
20683010;WPDx;1
20684001;DoIWD;3
20684003;Madzi Alipo;1
20685001;CJF;3
20685003;CJF;1
20685003;DoIWD;2
20685005;CJF;3
20685007;DoIWD;1
20686001;CJF;3
20686001;DoIWD;4
20686002;DoIWD;3
20686003;DoIWD;2
20686004;CJF;10
20686004;DoIWD;3
20686005;CJF;1
20686005;DoIWD;1
20686007;CJF;4
20686008;CJF;10
20686009;CJF;7
20686009;DoIWD;1
20686011;CJF;3
20686012;CJF;7
20686012;DoIWD;1
20686013;CJF;3
20686014;CJF;6
20686014;DoIWD;1
20686015;CJF;7
20686015;DoIWD;2
20686016;CJF;1
20686016;DoIWD;1
20686017;DoIWD;1
20687001;DoIWD;3
20688001;DoIWD;1
20688002;CJF;2
20688002;DoIWD;5
20688002;Madzi Alipo;1
20688002;WPDx;1
20688003;CJF;4
20688003;DoIWD;1
20688004;CJF;2
20688004;DoIWD;1
20688006;Madzi Alipo;1
20688006;WPDx;1
20688010;Madzi Alipo;2
20688010;WPDx;3
20688012;DoIWD;7
20688012;Madzi Alipo;1
20701001;DoIWD;9
20701002;DoIWD;4
20701003;DoIWD;4
20701004;DoIWD;4
20701005;DoIWD;7
20701006;DoIWD;5
20701007;DoIWD;3
20701008;DoIWD;4
20701009;DoIWD;9
20701010;DoIWD;5
20701011;DoIWD;7
20701012;DoIWD;4
20701013;DoIWD;5
20701014;DoIWD;4
20701015;DoIWD;6
20701016;DoIWD;6
20701017;DoIWD;6
20701018;DoIWD;3
20701019;DoIWD;3
20701020;DoIWD;4
20701021;DoIWD;8
20701801;DoIWD;3
20702001;DoIWD;5
20702002;DoIWD;6
20702003;DoIWD;6
20702004;DoIWD;8
20702005;DoIWD;5
20702006;DoIWD;3
20702007;DoIWD;5
20702008;DoIWD;7
20702009;DoIWD;4
20702010;DoIWD;5
20702011;DoIWD;5
20702012;DoIWD;3
20702013;DoIWD;4
20702015;DoIWD;7
20702016;DoIWD;8
20702017;DoIWD;5
20702018;DoIWD;1
20702019;DoIWD;3
20702020;DoIWD;5
20702021;DoIWD;4
20702022;DoIWD;1
20702023;DoIWD;5
20702024;DoIWD;2
20702026;DoIWD;5
20702027;DoIWD;5
20702028;DoIWD;2
20702029;DoIWD;1
20702030;DoIWD;6
20702031;DoIWD;4
20702032;DoIWD;3
20702033;DoIWD;2
20702034;DoIWD;2
20702035;DoIWD;6
20702036;DoIWD;6
20702037;DoIWD;1
20702038;DoIWD;3
20702039;DoIWD;3
20702040;DoIWD;5
20702041;DoIWD;2
20702042;DoIWD;7
20702043;DoIWD;4
20702044;DoIWD;6
20702045;DoIWD;4
20702047;DoIWD;5
20702049;DoIWD;5
20702050;DoIWD;5
20702051;DoIWD;1
20702053;DoIWD;2
20702054;DoIWD;1
20702055;DoIWD;3
20702056;DoIWD;2
20702057;DoIWD;6
20702058;DoIWD;4
20702059;DoIWD;3
20702060;DoIWD;3
20702061;DoIWD;4
20702062;DoIWD;1
20702801;DoIWD;2
20703001;DoIWD;2
20703002;DoIWD;5
20703003;DoIWD;5
20703004;DoIWD;1
20703005;DoIWD;3
20703006;DoIWD;5
20703007;DoIWD;10
20703008;DoIWD;21
20703009;DoIWD;3
20703010;DoIWD;7
20703011;DoIWD;3
20703012;DoIWD;4
20703013;DoIWD;6
20703014;DoIWD;7
20703015;DoIWD;3
20703016;DoIWD;4
20703017;DoIWD;2
20703018;DoIWD;4
20703019;DoIWD;2
20703020;DoIWD;3
20703021;DoIWD;4
20703021;OSM;1
20703022;DoIWD;3
20703023;DoIWD;7
20703024;DoIWD;4
20703025;DoIWD;5
20703026;DoIWD;4
20703027;DoIWD;9
20703028;DoIWD;5
20703029;DoIWD;2
20703030;DoIWD;7
20703031;DoIWD;7
20703032;DoIWD;7
20703033;DoIWD;5
20703034;DoIWD;3
20703035;DoIWD;5
20703036;DoIWD;12
20703037;DoIWD;7
20703038;DoIWD;5
20703040;DoIWD;6
20703041;DoIWD;5
20703042;DoIWD;4
20703043;DoIWD;5
20703044;DoIWD;4
20703045;DoIWD;4
20703046;DoIWD;6
20703803;DoIWD;1
20703804;DoIWD;6
20703805;DoIWD;3
20703806;DoIWD;8
20704001;DoIWD;4
20704001;Madzi Alipo;2
20704001;WPDx;2
20704002;DoIWD;7
20704002;Madzi Alipo;2
20704002;WPDx;2
20704003;DoIWD;7
20704004;DoIWD;13
20704005;DoIWD;4
20704006;DoIWD;9
20704007;DoIWD;5
20704008;DoIWD;4
20704009;DoIWD;3
20704010;DoIWD;1
20704011;DoIWD;7
20704012;DoIWD;4
20704013;DoIWD;5
20704014;DoIWD;4
20704015;DoIWD;5
20704016;DoIWD;4
20704017;DoIWD;7
20704018;DoIWD;1
20704019;DoIWD;3
20704020;DoIWD;7
20704020;Madzi Alipo;1
20704021;DoIWD;7
20704022;DoIWD;1
20704023;DoIWD;2
20704024;DoIWD;3
20704025;DoIWD;4
20704026;DoIWD;2
20704027;DoIWD;2
20704028;DoIWD;4
20704029;DoIWD;7
20704031;DoIWD;1
20704032;DoIWD;4
20704033;DoIWD;3
20704034;DoIWD;2
20704035;DoIWD;3
20704036;DoIWD;4
20704037;DoIWD;4
20704038;DoIWD;2
20704039;DoIWD;12
20704040;DoIWD;4
20704041;DoIWD;2
20704042;DoIWD;3
20704043;DoIWD;4
20704044;DoIWD;3
20704045;DoIWD;2
20704046;DoIWD;4
20704047;DoIWD;3
20704048;DoIWD;4
20704049;DoIWD;4
20704050;DoIWD;7
20704051;DoIWD;5
20704052;DoIWD;3
20704053;DoIWD;4
20704054;DoIWD;6
20705001;DoIWD;1
20705001;Madzi Alipo;2
20705002;DoIWD;6
20705002;Madzi Alipo;2
20705003;Madzi Alipo;1
20705004;DoIWD;1
20705006;DoIWD;2
20705007;DoIWD;4
20705008;DoIWD;3
20705009;DoIWD;3
20705010;DoIWD;2
20705011;DoIWD;2
20705012;DoIWD;1
20705013;DoIWD;1
20705014;DoIWD;1
20705015;DoIWD;1
20705016;DoIWD;3
20705018;DoIWD;1
20705018;Madzi Alipo;1
20705019;DoIWD;2
20705019;Madzi Alipo;3
20705019;WPDx;3
20705020;DoIWD;2
20705021;DoIWD;2
20705022;Madzi Alipo;1
20705022;WPDx;1
20705023;DoIWD;5
20705023;Madzi Alipo;1
20705023;WPDx;1
20705024;DoIWD;1
20705025;DoIWD;2
20705026;DoIWD;2
20705027;DoIWD;2
20705029;DoIWD;2
20705031;DoIWD;1
20705032;DoIWD;2
20705033;DoIWD;1
20705033;Madzi Alipo;1
20705033;WPDx;1
20705034;DoIWD;6
20705035;DoIWD;2
20705036;DoIWD;2
20705037;DoIWD;2
20705038;DoIWD;3
20705039;DoIWD;1
20705041;DoIWD;2
20705042;DoIWD;2
20705044;DoIWD;1
20705046;DoIWD;6
20705049;Madzi Alipo;1
20705049;WPDx;1
20705050;DoIWD;4
20705050;Madzi Alipo;2
20705050;WPDx;2
20705051;DoIWD;2
20705051;Madzi Alipo;2
20705051;WPDx;2
20705052;DoIWD;2
20705053;DoIWD;4
20705054;DoIWD;4
20705055;DoIWD;3
20705057;DoIWD;4
20705058;DoIWD;3
20705059;DoIWD;2
20705059;Madzi Alipo;5
20705059;WPDx;5
20705060;DoIWD;2
20705801;DoIWD;3
20705801;Madzi Alipo;2
20705801;WPDx;2
20705802;DoIWD;1
20705803;Madzi Alipo;2
20705803;WPDx;2
20706002;DoIWD;5
20706003;DoIWD;4
20706004;DoIWD;3
20706006;DoIWD;3
20706006;Madzi Alipo;2
20706006;WPDx;2
20706010;DoIWD;3
20706010;Madzi Alipo;2
20706010;WPDx;2
20706011;DoIWD;5
20706012;DoIWD;6
20706012;Madzi Alipo;1
20706012;WPDx;1
20706013;DoIWD;1
20706014;DoIWD;2
20706015;DoIWD;4
20706017;DoIWD;6
20706018;DoIWD;6
20706019;DoIWD;4
20706020;DoIWD;9
20706021;DoIWD;4
20706022;DoIWD;5
20706024;DoIWD;3
20706024;WPDx;2
20706025;DoIWD;5
20706026;DoIWD;4
20706027;DoIWD;3
20706028;DoIWD;5
20706801;DoIWD;3
20706801;Madzi Alipo;1
20706801;WPDx;1
20720701;DoIWD;2
20720702;DoIWD;2
20720708;DoIWD;2
20801005;Madzi Alipo;1
20801006;Madzi Alipo;1
20801010;DoIWD;3
20801011;DoIWD;3
20801012;DoIWD;2
20801013;DoIWD;2
20801014;DoIWD;7
20801015;DoIWD;5
20801016;DoIWD;10
20801017;DoIWD;5
20801018;DoIWD;2
20801019;DoIWD;15
20801020;DoIWD;3
20801021;DoIWD;8
20801022;DoIWD;3
20801025;DoIWD;4
20801029;DoIWD;7
20801030;DoIWD;1
20801031;DoIWD;14
20801032;DoIWD;27
20801036;DoIWD;2
20801037;DoIWD;6
20801038;DoIWD;6
20801039;DoIWD;3
20801040;DoIWD;4
20801041;DoIWD;4
20801042;DoIWD;5
20801043;DoIWD;6
20801044;DoIWD;4
20801044;Madzi Alipo;1
20801044;WPDx;1
20801045;DoIWD;2
20801045;Madzi Alipo;2
20801045;WPDx;2
20801046;DoIWD;3
20801047;DoIWD;3
20801049;DoIWD;2
20801051;DoIWD;5
20801052;DoIWD;4
20801053;DoIWD;3
20801054;DoIWD;2
20801055;DoIWD;9
20801056;DoIWD;7
20801057;DoIWD;1
20801058;DoIWD;4
20801059;DoIWD;2
20801060;DoIWD;5
20801061;DoIWD;2
20801062;DoIWD;2
20801064;DoIWD;2
20801065;DoIWD;4
20801066;DoIWD;3
20801067;DoIWD;14
20801068;DoIWD;29
20801069;DoIWD;3
20801070;DoIWD;8
20801071;DoIWD;1
20801072;DoIWD;1
20801073;DoIWD;3
20801074;DoIWD;99
20801078;DoIWD;4
20801083;DoIWD;4
20801084;DoIWD;4
20801086;DoIWD;9
20801088;DoIWD;1
20801089;DoIWD;4
20801090;DoIWD;5
20801091;DoIWD;3
20801801;DoIWD;5
20801801;Madzi Alipo;3
20801801;WPDx;3
20801802;DoIWD;1
20801803;DoIWD;4
20801804;DoIWD;4
20801805;DoIWD;29
20802001;DoIWD;4
20802002;DoIWD;9
20802003;DoIWD;5
20802004;DoIWD;7
20802006;DoIWD;3
20802007;DoIWD;3
20802008;DoIWD;4
20802009;DoIWD;11
20802010;DoIWD;9
20802011;DoIWD;5
20802011;Madzi Alipo;1
20802011;WPDx;1
20802012;DoIWD;4
20802012;Madzi Alipo;2
20802012;WPDx;2
20802013;DoIWD;7
20802014;DoIWD;4
20802015;DoIWD;8
20802016;DoIWD;4
20802016;Madzi Alipo;2
20802016;WPDx;2
20802017;DoIWD;2
20802017;Madzi Alipo;2
20802017;WPDx;2
20802018;DoIWD;3
20802019;DoIWD;11
20802020;DoIWD;2
20802021;DoIWD;7
20802022;DoIWD;5
20802023;DoIWD;7
20802025;DoIWD;8
20802026;DoIWD;5
20802029;DoIWD;4
20802030;DoIWD;6
20802032;DoIWD;2
20802033;DoIWD;1
20802034;DoIWD;3
20802035;DoIWD;1
20802036;DoIWD;5
20802037;DoIWD;3
20802038;DoIWD;4
20802040;DoIWD;4
20802041;DoIWD;3
20802042;DoIWD;8
20802043;DoIWD;4
20802044;DoIWD;2
20802045;DoIWD;5
20802046;DoIWD;3
20802047;DoIWD;1
20803001;DoIWD;3
20803002;DoIWD;3
20803003;DoIWD;3
20803004;DoIWD;2
20803004;Madzi Alipo;1
20803004;WPDx;1
20803005;DoIWD;10
20803006;DoIWD;5
20803007;DoIWD;2
20803008;CJF;1
20803008;DoIWD;2
20803008;OSM;1
20803009;DoIWD;3
20803009;Madzi Alipo;1
20803009;WPDx;1
20803010;DoIWD;6
20803010;OSM;1
20803011;DoIWD;1
20803012;DoIWD;1
20803013;DoIWD;2
20803014;DoIWD;4
20803015;DoIWD;3
20803017;DoIWD;2
20803018;DoIWD;5
20803019;DoIWD;1
20803020;DoIWD;2
20803021;DoIWD;5
20803022;DoIWD;5
20803023;DoIWD;15
20803024;DoIWD;5
20803025;DoIWD;2
20803026;DoIWD;8
20803027;DoIWD;7
20803028;DoIWD;4
20803030;DoIWD;2
20803031;DoIWD;3
20803032;DoIWD;7
20803033;DoIWD;4
20803034;DoIWD;2
20803035;DoIWD;2
20803036;DoIWD;2
20803037;DoIWD;6
20803040;DoIWD;1
20803042;DoIWD;1
20803043;DoIWD;5
20803044;DoIWD;3
20803046;DoIWD;10
20803047;DoIWD;6
20803049;DoIWD;1
20803049;Madzi Alipo;2
20803049;WPDx;2
20803050;Madzi Alipo;2
20803050;WPDx;2
20803051;DoIWD;2
20803051;Madzi Alipo;4
20803051;WPDx;4
20803052;DoIWD;1
20803053;DoIWD;5
20803054;DoIWD;1
20803055;DoIWD;4
20803056;DoIWD;8
20803057;DoIWD;9
20803058;DoIWD;2
20803058;OSM;2
20803059;DoIWD;8
20803060;DoIWD;12
20803061;DoIWD;2
20803061;Madzi Alipo;2
20803061;WPDx;2
20803063;DoIWD;2
20803066;DoIWD;3
20803068;DoIWD;3
20803069;DoIWD;4
20803073;DoIWD;3
20803074;DoIWD;1
20803074;WPDx;2
20803075;DoIWD;2
20803076;DoIWD;2
20803077;DoIWD;2
20803078;DoIWD;3
20803079;DoIWD;1
20803080;DoIWD;7
20803080;Madzi Alipo;1
20803080;WPDx;1
20803081;DoIWD;2
20803082;DoIWD;7
20803083;DoIWD;3
20803084;DoIWD;1
20803085;DoIWD;2
20803086;DoIWD;4
20803087;DoIWD;7
20803087;Madzi Alipo;3
20803087;WPDx;3
20803088;DoIWD;8
20803088;Madzi Alipo;1
20803088;WPDx;1
20803089;DoIWD;11
20803090;DoIWD;29
20803091;DoIWD;4
20803092;DoIWD;3
20803801;DoIWD;37
20803802;DoIWD;1
20803803;DoIWD;7
20803803;Madzi Alipo;2
20803803;WPDx;2
20803804;DoIWD;11
20803804;OSM;1
20803901;Madzi Alipo;1
20803901;WPDx;1
20803902;DoIWD;63
20804001;DoIWD;20
20804002;DoIWD;27
20804003;DoIWD;13
20804004;DoIWD;15
20804005;DoIWD;19
20804006;DoIWD;20
20804007;DoIWD;9
20804008;DoIWD;12
20804009;DoIWD;14
20804010;DoIWD;13
20804011;DoIWD;17
20804012;DoIWD;4
20804013;DoIWD;6
20804014;DoIWD;16
20804015;DoIWD;6
20804016;DoIWD;7
20804017;DoIWD;15
20804018;DoIWD;7
20804019;DoIWD;12
20804020;DoIWD;15
20804021;DoIWD;22
20804022;DoIWD;19
20804023;DoIWD;12
20804024;DoIWD;14
20804025;DoIWD;42
20804026;DoIWD;6
20804027;DoIWD;7
20804028;DoIWD;3
20804030;DoIWD;10
20804031;DoIWD;6
20804032;DoIWD;7
20804033;DoIWD;10
20804034;DoIWD;8
20804035;DoIWD;20
20804036;DoIWD;4
20804037;DoIWD;5
20804038;DoIWD;7
20804039;DoIWD;4
20804040;DoIWD;3
20804041;DoIWD;15
20804042;DoIWD;15
20804043;DoIWD;16
20804044;DoIWD;5
20804045;DoIWD;8
20804046;DoIWD;5
20804047;DoIWD;4
20804801;DoIWD;44
20804802;DoIWD;6
20805001;DoIWD;12
20805002;DoIWD;7
20805003;DoIWD;4
20805004;DoIWD;14
20805005;DoIWD;13
20805006;DoIWD;6
20805007;DoIWD;14
20805008;DoIWD;5
20805009;DoIWD;9
20805009;Madzi Alipo;1
20805010;DoIWD;13
20805011;DoIWD;10
20805012;DoIWD;6
20805013;DoIWD;10
20805014;DoIWD;14
20805015;DoIWD;11
20805016;DoIWD;3
20806012;DoIWD;14
20806013;DoIWD;1
20806014;DoIWD;1
20806015;DoIWD;2
20806016;DoIWD;1
20806017;DoIWD;1
20806018;DoIWD;6
20806022;DoIWD;5
20806023;DoIWD;1
20806024;DoIWD;1
20806026;DoIWD;4
20806028;DoIWD;4
20806030;DoIWD;7
20806031;DoIWD;5
20806032;DoIWD;6
20806033;DoIWD;4
20806034;DoIWD;14
20806035;DoIWD;5
20806036;DoIWD;5
20806037;DoIWD;4
20806038;DoIWD;4
20806039;DoIWD;3
20806040;DoIWD;1
20806041;DoIWD;1
20806043;DoIWD;2
20806044;DoIWD;4
20806045;DoIWD;2
20806046;DoIWD;2
20806047;DoIWD;4
20806048;DoIWD;1
20806049;DoIWD;5
20806050;DoIWD;4
20806903;DoIWD;1
20807001;DoIWD;13
20807002;DoIWD;14
20807003;DoIWD;1
20807005;DoIWD;3
20807006;DoIWD;15
20807007;DoIWD;6
20807008;DoIWD;14
20807009;DoIWD;7
20807011;DoIWD;13
20807012;DoIWD;1
20807013;DoIWD;9
20807014;DoIWD;9
20807015;DoIWD;9
20807016;DoIWD;11
20807017;DoIWD;4
20807018;DoIWD;11
20807019;DoIWD;11
20807020;DoIWD;1
20807021;DoIWD;3
20807022;DoIWD;4
20807023;DoIWD;10
20807023;Madzi Alipo;1
20807023;WPDx;1
20807025;DoIWD;4
20807026;DoIWD;2
20807027;DoIWD;5
20807028;DoIWD;5
20807029;DoIWD;2
20807030;DoIWD;2
20807031;DoIWD;2
20807032;DoIWD;4
20807033;DoIWD;4
20807034;DoIWD;2
20807038;DoIWD;3
20807039;DoIWD;5
20807040;DoIWD;4
20807041;DoIWD;3
20807042;DoIWD;2
20807043;DoIWD;4
20807044;DoIWD;3
20807045;DoIWD;7
20807046;DoIWD;7
20807046;Madzi Alipo;4
20807047;DoIWD;3
20807048;DoIWD;3
20807049;DoIWD;2
20807050;DoIWD;4
20807051;DoIWD;4
20807052;DoIWD;4
20807053;DoIWD;10
20807054;DoIWD;5
20807055;DoIWD;5
20807056;DoIWD;2
20807057;DoIWD;3
20807057;Madzi Alipo;1
20807057;WPDx;1
20807058;DoIWD;7
20807058;Madzi Alipo;2
20807058;WPDx;2
20807059;DoIWD;4
20807059;Madzi Alipo;1
20807059;OSM;1
20807059;WPDx;1
20807061;DoIWD;5
20807062;DoIWD;4
20807063;DoIWD;1
20807801;DoIWD;11
20807802;DoIWD;10
20807803;DoIWD;21
20807804;DoIWD;5
20807805;DoIWD;1
20807806;DoIWD;4
20807806;OSM;1
20807902;DoIWD;2
20808001;DoIWD;7
20808002;DoIWD;6
20808003;DoIWD;5
20808004;DoIWD;7
20808005;DoIWD;3
20808006;DoIWD;5
20808007;DoIWD;3
20808008;DoIWD;4
20808009;DoIWD;8
20808010;DoIWD;4
20808011;DoIWD;3
20808013;DoIWD;3
20808015;DoIWD;3
20808016;DoIWD;4
20808016;Madzi Alipo;10
20808017;DoIWD;3
20808018;DoIWD;3
20808019;DoIWD;5
20808020;DoIWD;8
20808021;DoIWD;8
20808022;DoIWD;4
20808022;Madzi Alipo;3
20808022;WPDx;3
20808023;DoIWD;1
20808801;DoIWD;6
20808802;DoIWD;11
20820701;DoIWD;7
20820702;DoIWD;1
20820707;DoIWD;3
20820712;DoIWD;7
20820713;DoIWD;6
20820714;DoIWD;3
20820715;DoIWD;12
20901001;DoIWD;13
20901001;Madzi Alipo;24
20901002;DoIWD;6
20901002;Madzi Alipo;9
20901003;DoIWD;14
20901003;Madzi Alipo;25
20901004;DoIWD;16
20901004;Madzi Alipo;34
20901005;DoIWD;12
20901005;Madzi Alipo;11
20901006;DoIWD;12
20901006;Madzi Alipo;12
20901007;DoIWD;2
20901007;Madzi Alipo;7
20901008;DoIWD;8
20901008;Madzi Alipo;12
20901009;DoIWD;7
20901009;Madzi Alipo;5
20901010;DoIWD;8
20901010;Madzi Alipo;4
20901011;DoIWD;5
20901011;Madzi Alipo;3
20901012;DoIWD;7
20901012;Madzi Alipo;6
20901013;DoIWD;15
20901013;Madzi Alipo;16
20901014;DoIWD;7
20901014;Madzi Alipo;11
20901015;DoIWD;17
20901015;Madzi Alipo;11
20901016;DoIWD;9
20901016;Madzi Alipo;9
20901017;DoIWD;6
20901017;Madzi Alipo;23
20901018;DoIWD;6
20901018;Madzi Alipo;10
20901019;DoIWD;22
20901019;Madzi Alipo;26
20901020;DoIWD;6
20901020;Madzi Alipo;9
20901021;DoIWD;7
20901021;Madzi Alipo;21
20901022;DoIWD;12
20901022;Madzi Alipo;10
20901023;DoIWD;6
20901023;Madzi Alipo;5
20901024;DoIWD;3
20901024;Madzi Alipo;3
20901025;DoIWD;1
20901025;Madzi Alipo;2
20901026;DoIWD;1
20901026;Madzi Alipo;1
20901027;DoIWD;1
20901027;Madzi Alipo;1
20901028;DoIWD;4
20901029;DoIWD;4
20901029;Madzi Alipo;4
20901030;DoIWD;1
20901030;Madzi Alipo;2
20901031;DoIWD;7
20901031;Madzi Alipo;5
20901032;DoIWD;3
20901032;Madzi Alipo;3
20901033;DoIWD;11
20901033;Madzi Alipo;12
