pcode;source;value
10101;510;0
10101;Madzi Alipo;2
10101;WPDx;9
10102;510;0
10102;OSM;2
10103;510;0
10103;Madzi Alipo;13
10103;WPDx;8
10104;510;0
10104;Madzi Alipo;20
10104;WPDx;24
10105;510;0
10105;WPDx;2
10106;510;0
10120;510;0
10120;WPDx;2
10201;510;0
10201;DoIWD;730
10201;OSM;7
10201;WPDx;8
10202;510;0
10202;DoIWD;120
10203;510;0
10203;DoIWD;600
10203;Madzi Alipo;21
10203;WPDx;21
10204;510;0
10204;DoIWD;604
10204;Madzi Alipo;3
10204;WPDx;3
10205;DoIWD;194
10205;Madzi Alipo;2
10205;WPDx;2
10206;510;0
10220;510;0
10220;DoIWD;88
10220;Madzi Alipo;6
10220;WPDx;6
10301;510;0
10301;DoIWD;209
10301;Madzi Alipo;1
10301;WPDx;1
10302;510;0
10302;DoIWD;88
10303;DoIWD;68
10304;510;0
10304;DoIWD;99
10305;510;0
10305;DoIWD;85
10306;510;0
10306;DoIWD;120
10306;Madzi Alipo;1
10306;WPDx;1
10307;510;0
10307;DoIWD;74
10308;510;0
10308;DoIWD;63
10308;Madzi Alipo;1
10308;WPDx;1
10309;510;0
10309;DoIWD;98
10310;DoIWD;66
10311;DoIWD;8
10312;510;0
10312;DoIWD;186
10312;Madzi Alipo;7
10312;WPDx;7
10314;DoIWD;11
10320;510;0
10320;DoIWD;23
10320;Madzi Alipo;1
10320;WPDx;1
10401;DoIWD;720
10401;Madzi Alipo;1157
10401;OSM;1
10401;WPDx;53
10402;DoIWD;127
10402;Madzi Alipo;113
10402;WPDx;1
10403;DoIWD;173
10403;Madzi Alipo;233
10403;WPDx;16
10404;DoIWD;315
10404;Madzi Alipo;673
10404;OSM;2
10404;WPDx;2
10405;DoIWD;104
10405;Madzi Alipo;174
10406;510;0
10407;510;0
10407;DoIWD;214
10407;Madzi Alipo;240
10407;OSM;3
10407;WPDx;23
10408;DoIWD;102
10408;Madzi Alipo;193
10408;WPDx;11
10409;DoIWD;62
10409;Madzi Alipo;113
10409;WPDx;5
10410;WPDx;1
10411;DoIWD;5
10411;Madzi Alipo;3
10411;WPDx;1
10420;DoIWD;58
10420;Madzi Alipo;416
10420;OSM;13
10501;510;0
10501;DoIWD;664
10501;Madzi Alipo;3
10501;WPDx;3
10502;510;0
10502;DoIWD;1206
10502;Madzi Alipo;9
10502;OSM;1
10502;WPDx;6
10503;510;0
10503;DoIWD;340
10504;510;0
10504;DoIWD;94
10505;DoIWD;594
10505;Madzi Alipo;10
10505;WPDx;10
10506;510;0
10506;DoIWD;500
10506;Madzi Alipo;6
10506;OSM;1
10506;WPDx;6
10507;510;0
10507;DoIWD;573
10507;Madzi Alipo;1
10508;510;0
10508;DoIWD;95
10509;DoIWD;233
10509;Madzi Alipo;12
